,index,Name,comment,ID,Year,Rank,Average,Users rated,comment_length,Good_bad,sentiment,averageweight,maxplayers,minage,minplayers,minplaytime,owned,playingtime,stddev,trading,wanting,wishing,yearpublished,boardgamedesigner2,boardgamecategory2,boardgamemechanic2,boardgamepublisher2,suggested_language_dependence3,Strategy Game Rank,Family Game Rank,mech1,mech2,mech3,other mech,playingtime_cat
10483,10483,Pandemic: The Cure,1187,150658,2014,296,7.34,7861,201.3133951137321,Good,0.12651170820833538,2.0509,5,8,2,30,12272,30,1.20508,231,469,2267,2014,Matt Leacock,"Dice, Environmental, Medical","Cooperative Play, Dice Rolling, Hand Management, Point to Point Movement, Press Your Luck, Set Collection, Variable Player Powers","Z-Man Games, Inc., Asterion Press, Filosofia Éditions, Hobby Japan, Lacerta",Some necessary text - easily memorized or small crib sheet,211.0,43.0,Cooperative Play, Dice Rolling, Hand Management," Point to Point Movement, Press Your Luck, Set Collection, Variable Player Powers",1_<= 30
10488,10488,Panic Lab,133,121073,2012,3224,6.18,1218,136.1578947368421,Bad,0.07470586944982269,1.3333,10,8,2,10,2066,30,1.41782,42,13,102,2012,Dominique Ehrhard,"Humor, Party Game, Puzzle, Real-time","Dice Rolling, Memory, Pattern Recognition","FoxGames, Gigamic, Land of Beautiful Mind (سرزمین ذهن زیبا)",No necessary in-game text,,893.0,Dice Rolling, Memory, Pattern Recognition,,1_<= 30
10494,10494,Pantheon,276,94480,2011,1517,6.78,1534,288.2572463768116,Bad,0.0695326953258056,2.7517,4,10,2,60,2242,90,1.33936,157,44,180,2011,Bernd Brunnhofer,"Ancient, Mythology","Card Drafting, Hand Management, Route/Network Building, Set Collection, Variable Phase Order, Variable Player Powers","999 Games, Bard Centrum Gier, Filosofia Éditions, Hans im Glück, MINDOK, Rio Grande Games",No necessary in-game text,780.0,385.0,Card Drafting, Hand Management, Route/Network Building," Set Collection, Variable Phase Order, Variable Player Powers",3_61-120
10535,10535,Paperback,1286,141572,2014,355,7.27,7291,202.6135303265941,Good,0.13200989051756018,1.9817,5,8,2,45,11783,45,1.19464,318,631,2730,2014,Tim Fowers,"Card Game, Print & Play, Word Game","Card Drafting, Cooperative Play, Deck / Pool Building","Fowers Games, (Self-Published), Baldar, MS Edizioni",Unplayable in another language,249.0,62.0,Card Drafting, Cooperative Play, Deck / Pool Building,,2_31-60
10548,10548,Parfum,238,172546,2015,2211,6.53,1253,188.9327731092437,Bad,0.08882630013923755,2.0769,4,8,2,45,2816,45,1.2446700000000002,203,19,174,2015,Marco Ruskowski    Marcel Süßelbeck,"Industry / Manufacturing, Renaissance","Action Point Allowance System, Card Drafting, Dice Rolling, Set Collection","Piatnik, Queen Games",No necessary in-game text,,600.0,Action Point Allowance System, Card Drafting, Dice Rolling, Set Collection,2_31-60
10584,10584,Passing Shot,33,85567,2010,6697,6.89,118,176.75757575757575,Bad,0.15332216394716394,1.2,2,5,2,30,183,30,1.61225,5,3,7,2010,Daniel Martinez,"Dice, Sports","Dice Rolling, Simulation","(Self-Published), Impact! Miniatures",No necessary in-game text,,1347.0,Dice Rolling, Simulation,,,1_<= 30
10589,10589,Pastiche,472,91620,2011,1299,6.85,1907,250.17161016949157,Bad,0.11761473412563432,2.2701,4,10,2,45,2613,60,1.3145,122,140,529,2011,Sean MacDonald,"Educational, Renaissance","Card Drafting, Hand Management, Pattern Building, Set Collection, Tile Placement, Trading","Eagle-Gryphon Games, Pegasus Spiele",No necessary in-game text,,321.0,Card Drafting, Hand Management, Pattern Building," Set Collection, Tile Placement, Trading",2_31-60
10591,10591,Patchwork,3768,163412,2014,63,7.72,33233,151.50318471337582,Good,0.13085175701934407,1.6844,2,8,2,15,49157,30,1.12406,339,768,4756,2014,Uwe Rosenberg,"Abstract Strategy, Puzzle","Card Drafting, Tile Placement, Time Track","Lookout Games, 999 Games, Asmodee, Compaya.hu - Gamer Café Kft., Crowd Games, Funforge, GeGe Co. Ltd., Kaissa Chess & Games, Korea Boardgames co., Ltd., Lacerta, Lautapelit.fi, Liam Games, Ludicus, Ludofy Creative, Maldito Games, Mayfair Games, MINDOK, NeoTroy Games, Rebel, uplay.it edizioni, Нескучные игры",No necessary in-game text,,5.0,Card Drafting, Tile Placement, Time Track,,1_<= 30
10653,10653,Pelican Bay,45,140172,2013,6958,6.19,208,124.86666666666666,Bad,0.07814435358879805,2.2143,4,10,2,40,377,50,1.5483799999999999,12,9,62,2013,Jacques Zeimet,"Abstract Strategy, Animals, Territory Building","Modular Board, Pattern Building, Tile Placement","Drei Hasen in der Abendsonne, Trefl",No necessary in-game text,,1387.0,Modular Board, Pattern Building, Tile Placement,,2_31-60
10654,10654,Pelican Cove,204,90870,2011,1919,6.76,1034,208.7352941176471,Bad,0.10634381422911923,1.8125,5,8,1,30,1246,30,1.27445,28,93,298,2011,Lauge Luchau,"Puzzle, Real-time",Pattern Recognition,"KOSMOS, Competo / Marektoy, Filosofia Éditions, Kaissa Chess & Games, Korea Boardgames co., Ltd., SimplyFun",No necessary in-game text,,481.0,Pattern Recognition,,,,1_<= 30
10675,10675,Penny Press,144,148205,2015,2522,6.64,770,266.52777777777777,Bad,0.09452566726181894,2.2059,5,13,2,45,1339,60,1.24584,109,53,307,2015,Robert Dijkman Dulkes    Matt Golec,Industry / Manufacturing,"Area Control / Area Influence, Auction/Bidding, Worker Placement",Asmadi Games,No necessary in-game text,,682.0,Area Control / Area Influence, Auction/Bidding, Worker Placement,,2_31-60
10686,10686,People-Person!,9,170608,2014,11068,7.75,33,49.111111111111114,Good,0.10313683712121212,3.0,6,13,2,30,24,30,0.801654,1,1,3,2014,Adam Hogg,"Abstract Strategy, Card Game, Humor","Card Drafting, Hand Management, Memory, Partnerships, Storytelling, Take That",(Self-Published),Some necessary text - easily memorized or small crib sheet,,1610.0,Card Drafting, Hand Management, Memory," Partnerships, Storytelling, Take That",1_<= 30
10700,10700,Pergamon,435,90040,2011,1081,6.92,2168,281.30114942528735,Bad,0.1223278346019238,2.2319999999999998,4,10,2,45,2343,45,1.08665,104,171,506,2011,Stefan Dorra    Ralf zur Linde,Ancient,Set Collection,"Eagle-Gryphon Games, eggertspiele, IELLO",No necessary in-game text,600.0,246.0,Set Collection,,,,2_31-60
10762,10762,Photosynthesis,1222,218603,2017,336,7.26,9951,217.68330605564648,Good,0.142272168543444,2.2864,4,10,2,30,17067,60,1.21529,333,702,4686,2017,Hjalmar Hach,"Abstract Strategy, Environmental",Action Point Allowance System,"Blue Orange (EU), Blue Orange Games, 2 Pionki, Asmodee, Broadway Toys LTD, Fantasmagoria, FoxMind Israel, Gém Klub Kft., Happy Baobab, Heidelberger Spieleverlag, Lautapelit.fi, Mandala Jogos, Portal Games, Siam Board Games, TWOPLUS Games",No necessary in-game text,,61.0,Action Point Allowance System,,,,2_31-60
10775,10775,Pick-a-Dog,179,123885,2012,3112,6.19,1123,141.49162011173183,Bad,0.10761151665134458,1.0656,5,8,1,15,2172,15,1.29084,66,21,123,2012,Torsten Landsvogt,"Action / Dexterity, Animals, Card Game, ""Childrens Game"", Party Game, Puzzle, Real-time",Pattern Recognition,"999 Games, AURUM, Inc., Eagle-Gryphon Games, Granna, Heidelberger Spieleverlag, HomoLudicus, IELLO, Jolly Thinkers, Kikigagne?, Lifestyle Boardgames Ltd, REXhry, Swan Panasia Co., Ltd., Zhiyanjia",No necessary in-game text,,889.0,Pattern Recognition,,,,1_<= 30
10838,10838,Pioneers,99,232520,2017,2182,7.07,612,267.4646464646465,Good,0.1139038814510008,2.28,4,8,2,60,1175,60,1.09341,22,64,234,2017,Emanuele Ornella,American West,"Pick-up and Deliver, Point to Point Movement, Route/Network Building, Worker Placement","Piatnik, Queen Games",No necessary in-game text,963.0,540.0,Pick-up and Deliver, Point to Point Movement, Route/Network Building, Worker Placement,2_31-60
10857,10857,Pirate Dice: Voyage on the Rolling Seas,136,124047,2012,4272,6.19,517,221.74264705882354,Bad,0.05593016484003505,1.6562,4,13,2,30,899,60,1.4175,82,40,178,2012,Sean Brown    Clint Herron,"Dice, Nautical, Pirates","Action / Movement Programming, Dice Rolling, Modular Board, Simultaneous Action Selection",Eagle-Gryphon Games,No necessary in-game text,,1070.0,Action / Movement Programming, Dice Rolling, Modular Board, Simultaneous Action Selection,2_31-60
10858,10858,Pirate Fluxx,324,73538,2011,2699,6.2,2219,119.71913580246914,Bad,0.11857453986346878,1.425,6,8,2,10,5430,40,1.61817,131,14,159,2011,Andrew Looney,"Card Game, Pirates","Hand Management, Set Collection, Take That","Looney Labs, Pegasus Spiele",Moderate in-game text - needs crib sheet or paste ups,,863.0,Hand Management, Set Collection, Take That,,2_31-60
10935,10935,Piña Pirata,122,154479,2014,4812,6.06,627,190.1311475409836,Bad,0.05960869619034734,1.2812,6,7,2,30,1185,30,1.49516,61,12,103,2014,Donald X  Vaccarino,"Animals, Card Game, Pirates",Hand Management,"Giochi Uniti, IELLO, Magellan",Moderate in-game text - needs crib sheet or paste ups,,1184.0,Hand Management,,,,1_<= 30
10936,10936,Piñata,175,141791,2013,2051,6.86,820,220.09714285714287,Bad,0.14720211725154447,1.4839,2,13,2,30,1408,30,1.13978,55,78,304,2013,Stephen Glenn,Card Game,"Hand Management, Set Collection",Rio Grande Games,No necessary in-game text,,518.0,Hand Management, Set Collection,,,1_<= 30
10945,10945,Planet,95,252929,2018,2445,6.79,680,296.9894736842105,Bad,0.0998761748821155,1.6111,4,8,2,30,1078,45,1.2929700000000002,20,128,692,2018,Urtis Šulinskas,Environmental,Tile Placement,"Blue Orange (EU), Blue Orange Games, Fractal Juegos, Gém Klub Kft., Korea Boardgames co., Ltd., Rebel",No necessary in-game text,,591.0,Tile Placement,,,,2_31-60
10956,10956,Plato 3000,122,121764,2012,3812,6.48,420,218.81967213114757,Bad,0.1459497486511798,1.5789,4,10,2,30,953,30,1.45139,82,22,72,2012,Sheamus Parkes,"Card Game, Civilization","Hand Management, Partnerships, Set Collection",Cambridge Games Factory,Moderate in-game text - needs crib sheet or paste ups,,980.0,Hand Management, Partnerships, Set Collection,,1_<= 30
10970,10970,Plucky Pilots,18,142158,2013,11083,6.1,57,251.44444444444446,Bad,0.13464827193125806,1.1818,4,6,2,15,121,15,1.48728,0,4,20,2013,Gerhard Piaskowy,"""Childrens Game""","Dice Rolling, Press Your Luck",HABA,No necessary in-game text,,1557.0,Dice Rolling, Press Your Luck,,,1_<= 30
10971,10971,Plums,203,181761,2015,2010,6.63,1155,241.74384236453201,Bad,0.10323535085310856,1.7714,5,8,3,30,1831,40,1.2536,71,58,222,2015,Matthias Cramer,Card Game,"Auction/Bidding, Card Drafting, Set Collection, Trick-taking","Pegasus Spiele, Crash Games, Lucrum Games",No necessary in-game text,,538.0,Auction/Bidding, Card Drafting, Set Collection, Trick-taking,2_31-60
11034,11034,Polterfass,75,148531,2013,4261,6.4,374,186.76,Bad,0.10701891019914823,1.5833,6,8,3,20,434,20,1.3033299999999999,20,42,107,2013,Andreas Schmidt,Dice,"Dice Rolling, Press Your Luck, Simultaneous Action Selection",Zoch Verlag,No necessary in-game text,,1044.0,Dice Rolling, Press Your Luck, Simultaneous Action Selection,,1_<= 30
11057,11057,Port Royal,1311,156009,2014,420,7.15,9379,169.70785659801678,Good,0.10885561608927144,1.6037,5,8,2,20,14386,50,1.15134,239,235,1303,2014,Alexander Pfister,"Card Game, Nautical, Pirates","Card Drafting, Press Your Luck, Set Collection","Pegasus Spiele, 999 Games, Bard Centrum Gier, Brain Games, cutia.ro, Ediciones MasQueOca, Fantasmagoria, Hobby Japan, Hobby World, HomoLudicus, Kaissa Chess & Games, Lautapelit.fi, Matagot, MINDOK, PaperGames (III), Popcorn Games, Steve Jackson Games, Swan Panasia Co., Ltd.",No necessary in-game text,,81.0,Card Drafting, Press Your Luck, Set Collection,,2_31-60
11066,11066,Portal of Heroes,127,181960,2015,2146,6.77,881,171.01574803149606,Bad,0.10316175138150256,1.6364,5,10,2,45,1729,45,1.17093,29,20,105,2015,Johannes Schmidauer König,"Card Game, Fantasy","Action Point Allowance System, Hand Management, Set Collection","AMIGO, Broadway Toys LTD, Gametrade Distribuzione, Gigamic, Kikigagne?, Korea Boardgames co., Ltd., Mayfair Games, Mercurio",No necessary in-game text,,566.0,Action Point Allowance System, Hand Management, Set Collection,,2_31-60
11073,11073,Poseidon's Kingdom,191,105624,2011,2150,6.86,738,256.5759162303665,Bad,0.1604851910506087,2.3953,4,10,2,60,1277,60,1.28772,61,97,291,2011,Fraser Lamont    Gordon Lamont,"Animals, Dice, Memory, Mythology","Area Movement, Dice Rolling, Memory, Tile Placement","Fragor Games, Game Salute",No necessary in-game text,,551.0,Area Movement, Dice Rolling, Memory, Tile Placement,2_31-60
11078,11078,Potato Man,193,137155,2013,2492,6.69,706,257.16062176165804,Bad,0.12391642844435526,1.4386,5,10,2,40,963,40,1.21559,24,38,163,2013,Günter Burkhardt    Wolfgang A  Lehmann,Card Game,Trick-taking,Zoch Verlag,No necessary in-game text,,644.0,Trick-taking,,,,2_31-60
11080,11080,Potion Explosion,1054,180974,2015,400,7.19,8703,169.10626185958253,Good,0.1076869135317398,1.7485,4,8,2,30,13975,45,1.16707,167,390,1993,2015,Stefano Castelli    Andrea Crespi    Lorenzo Silva,"Fantasy, Puzzle","Pattern Recognition, Set Collection, Take That","Horrible Games, 999 Games, ADC Blackfire Entertainment, CMON Limited, Edge Entertainment, Galápagos Jogos, Ghenos Games, HaKubia, Heidelberger Spieleverlag, Hobby Japan, InterHit, Lanlalen, Rebel, Swan Panasia Co., Ltd.",No necessary in-game text,,78.0,Pattern Recognition, Set Collection, Take That,,2_31-60
11140,11140,Privateer,32,145496,2016,10356,6.49,92,264.15625,Bad,0.0066882757298975005,2.375,6,9,3,45,241,45,2.27217,13,4,54,2016,Rick Barnes,Pirates,"Pick-up and Deliver, Variable Player Powers",Ensignia Games,Some necessary text - easily memorized or small crib sheet,1831.0,1555.0,Pick-up and Deliver, Variable Player Powers,,,2_31-60
11169,11169,Prolix,104,39635,2010,4679,6.45,271,275.3173076923077,Bad,0.058133469953694075,1.7407,5,9,1,30,585,30,1.41841,70,5,44,2010,Gil Hova,Word Game,,"Z-Man Games, Inc.",Some necessary text - easily memorized or small crib sheet,,1111.0,,,,,1_<= 30
11233,11233,Pyramids,97,213492,2017,2394,6.83,639,201.97938144329896,Bad,0.12881597570681766,1.9375,5,10,2,30,1141,30,1.19159,35,31,171,2017,Matthew Dunstan    Brett J  Gilbert,"Ancient, Card Game","Card Drafting, Pattern Building","Hobby Japan, Hutter Trade GmbH + Co KG, IELLO",No necessary in-game text,,606.0,Card Drafting, Pattern Building,,,1_<= 30
11242,11242,Qin,372,127997,2012,1373,6.8,1879,226.45161290322585,Bad,0.13819323629922747,2.0169,4,8,2,30,2317,30,1.15205,77,100,376,2012,Reiner Knizia,"Abstract Strategy, Ancient, Territory Building","Area Control / Area Influence, Area Enclosure, Hand Management, Tile Placement","eggertspiele, Gigamic, Lautapelit.fi, Pegasus Spiele, R&R Games, White Goblin Games",No necessary in-game text,,345.0,Area Control / Area Influence, Area Enclosure, Hand Management, Tile Placement,1_<= 30
11249,11249,Quadropolis,1069,176396,2016,282,7.35,8620,211.66230121608987,Good,0.12193175611794455,2.2056,4,8,2,30,12062,60,1.09455,262,543,2595,2016,François Gandon,"City Building, Environmental","Hand Management, Pattern Building, Set Collection, Tile Placement","Days of Wonder, ADC Blackfire Entertainment, Asterion Press, Edge Entertainment, Gém Klub Kft., GoKids 玩樂小子, Rebel",No necessary in-game text,,40.0,Hand Management, Pattern Building, Set Collection, Tile Placement,2_31-60
11279,11279,Queendomino,587,232043,2017,404,7.35,4763,195.19250425894376,Good,0.14446044723305532,2.1325,4,8,2,25,10629,25,1.12853,169,320,1686,2017,Bruno Cathala,"City Building, Fantasy, Medieval, Territory Building","Area Enclosure, Card Drafting, Tile Placement, Variable Phase Order","Blackrock Games, Blue Orange (EU), Blue Orange Games, FoxGames, Gém Klub Kft., Happy Baobab, MINDOK, PaperGames (III), Pegasus Spiele, Swan Panasia Co., Ltd., テンデイズゲームズ (Ten Days Games), White Goblin Games",No necessary in-game text,,69.0,Area Enclosure, Card Drafting, Tile Placement, Variable Phase Order,1_<= 30
11312,11312,Quilt Show,97,146579,2014,3830,6.47,400,257.2061855670103,Bad,0.07619168766791852,1.9167,4,10,2,45,689,45,1.19707,37,24,122,2014,Steve Bennett    Judy Martin,,"Card Drafting, Pattern Building, Set Collection, Tile Placement",Rio Grande Games,No necessary in-game text,,972.0,Card Drafting, Pattern Building, Set Collection, Tile Placement,2_31-60
11337,11337,Qwinto,283,183006,2015,1059,7.11,1652,146.84805653710248,Good,0.15833010699698385,1.3571,6,8,2,15,2785,15,1.01815,23,70,353,2015,Bernhard Lach    Uwe Rapp,"Dice, Number","Dice Rolling, Paper-and-Pencil, Pattern Building","Nürnberger-Spielkarten-Verlag, Arclight, Gigamic, Pandasaurus Games, Popcorn Games, White Goblin Games",No necessary in-game text,,221.0,Dice Rolling, Paper-and-Pencil, Pattern Building,,1_<= 30
11343,11343,Qwixx,1082,131260,2012,696,6.89,6897,141.7865064695009,Bad,0.12252573260987384,1.1284,5,8,2,15,11848,15,1.17755,122,67,470,2012,Steffen Benndorf,Dice,"Dice Rolling, Paper-and-Pencil","Nürnberger-Spielkarten-Verlag, dV Giochi, FoxMind Israel, Game Factory, Gamewright, Gigamic, Kanga Games, MINDOK, Morapiaf, Vagabund, Vennerød Forlag AS, White Goblin Games",No necessary in-game text,,177.0,Dice Rolling, Paper-and-Pencil,,,1_<= 30
11401,11401,Race to the Treasure!,59,121806,2012,7149,6.22,191,143.61016949152545,Bad,0.10072371059904514,1.2,4,5,1,20,559,20,1.3093700000000001,9,8,48,2012,Gina Manola,"""Childrens Game""","Cooperative Play, Tile Placement, Time Track","GoKids 玩樂小子, Magellan, Peaceable Kingdom",No necessary in-game text,,1399.0,Cooperative Play, Tile Placement, Time Track,,1_<= 30
11418,11418,Raging Bulls,48,228570,2017,4990,7.09,154,100.75,Good,0.10814304811700648,1.2,1,8,1,20,195,30,1.1448200000000002,0,1,70,2017,Mark Tuck,"Dice, Print & Play, Puzzle","Dice Rolling, Line Drawing, Paper-and-Pencil, Press Your Luck","(Self-Published), (Web published)",No necessary in-game text,,1164.0,Dice Rolling, Line Drawing, Paper-and-Pencil, Press Your Luck,1_<= 30
11444,11444,Railroad Ink: Blazing Red Edition,114,251678,2018,1207,7.29,1164,262.0526315789473,Good,0.10847048837645093,1.4615,6,8,1,20,3122,30,1.15083,27,183,708,2018,Hjalmar Hach    Lorenzo Silva,"Dice, Trains","Dice Rolling, Line Drawing, Paper-and-Pencil, Route/Network Building","Horrible Games, CMON Limited, Edge Entertainment, FoxGames, Hobby Japan, White Goblin Games",No necessary in-game text,,232.0,Dice Rolling, Line Drawing, Paper-and-Pencil, Route/Network Building,1_<= 30
11445,11445,Railroad Ink: Deep Blue Edition,228,245654,2018,728,7.37,2022,184.17105263157902,Good,0.14736149234636362,1.5625,6,8,1,20,4309,30,1.14396,27,343,1566,2018,Hjalmar Hach    Lorenzo Silva,"Dice, Trains","Dice Rolling, Line Drawing, Paper-and-Pencil, Route/Network Building","Horrible Games, Angry Lion Games, CMON Limited, Edge Entertainment, FoxGames, Ghenos Games, Hobby Japan, White Goblin Games",No necessary in-game text,,131.0,Dice Rolling, Line Drawing, Paper-and-Pencil, Route/Network Building,1_<= 30
11456,11456,Railways of the World: The Card Game,239,68228,2010,2200,6.73,864,260.16317991631803,Bad,0.10034551204461542,2.2045,4,8,2,30,1353,60,1.20286,98,64,205,2010,James Eastham    Steve Ellis  II,"Card Game, Trains","Card Drafting, Pick-up and Deliver, Set Collection","Eagle-Gryphon Games, Wargames Club Publishing",No necessary in-game text,999.0,573.0,Card Drafting, Pick-up and Deliver, Set Collection,,2_31-60
